start,end,sp_gross,sp_net,dep,dep_usd,cpi,excess_gross,excess_net
2004-10,2005-09,0.11693119794177376,0.09652762601089648,0.09815703831538025,0.05411604303266193,0.08171489880611782,0.017096060919660427,-0.0014837698504244212
2004-11,2005-10,0.10366962805008262,0.0847161453027474,0.09788472296450013,0.07544233147991508,0.08111821528483643,0.005269137063827811,-0.01199449940991526
2004-12,2005-11,0.11821727256744152,0.09758409558510484,0.09861137786511365,0.09302445748679422,0.07769713644375864,0.01784606922643306,-0.0009350734033040098
2005-01,2005-12,0.07954218943347535,0.06310997061489765,0.09852052346734119,0.09101786677665458,0.07625505400503396,-0.01727626715062469,-0.032234766757633815
2005-02,2006-01,0.11904602064158287,0.09834979346233474,0.09833884472369303,0.07544399098093191,0.07974608506855319,0.018853176337489064,9.968452535646932e-06
2005-03,2006-02,0.085237608564948,0.0681636566210726,0.09797563743377125,0.06219641773360696,0.08940584129680174,-0.011601376601210411,-0.027151768943048937
2005-04,2006-03,0.08237900706379109,0.06563052404227276,0.09734023486581189,0.027675253653686616,0.09157165807870293,-0.013634082964113947,-0.02889688158332837
2005-05,2006-04,0.0911015940127744,0.07340197684641936,0.09679596426903636,0.0022629966890908015,0.09048659678836435,-0.005191822765373666,-0.02132938867823786
2005-06,2006-05,-0.003908522271362069,-0.012684050497074884,0.09688663104296968,-0.027839253048047685,0.09265456218953738,-0.0918920428617962,-0.09989243960048977
2005-07,2006-06,-0.04677923019607322,-0.05513522511202784,0.09743085661034434,-0.06946398746946347,0.09156626083277408,-0.1314069910990493,-0.13902113358977886
2005-08,2006-07,-0.08140356270719717,-0.08944528186349199,0.09761237014931368,-0.0751629628078958,0.08830785408401831,-0.16309576834685124,-0.17042232494825038
2005-09,2006-08,0.008236027567831261,-0.0006389809099315302,0.09752159086140155,-0.017713289668422227,0.08830785408401809,-0.0813519880037108,-0.08943839701075107
2005-10,2006-09,0.05271658516614819,0.039101442057553504,0.09752159086140133,0.008202481106401649,0.0850688426135302,-0.04082380343888037,-0.05322915675672146
2005-11,2006-10,0.10974835959429496,0.0899889304016055,0.09779381614230975,0.012629502090015121,0.08184586585329279,0.010889607206928886,-0.007109609861103872
