month,sp500_tr_usd,sp500_price_usd,spy_adj_usd,usdkzt,dep_kzt_rate,dep_usd_rate,cpi_kz
2005-05,1782.4599609375,1191.5,80.93795776367188,132.49,9.3,5.6,146.384868225765
2005-06,1784.989990234375,1191.3299560546875,81.0605697631836,135.26,9.2,5.7,146.97040769866817
2005-07,1851.3699951171875,1234.1800537109375,84.16207122802734,135.84,9.1,6.1,147.70525973716158
2005-08,1834.47998046875,1220.3299560546875,83.37309265136719,135.25,9.6,5.9,148.0006702566358
2005-09,1849.3299560546875,1228.81005859375,84.04217529296875,133.89,9.5,5.8,149.18467561868894
2005-10,1818.5,1207.010009765625,82.05455780029297,134.0,9.5,5.9,150.67652237487576
2005-11,1887.280029296875,1249.47998046875,85.66104888916016,134.07,9.1,5.9,151.58058150912507
2005-12,1887.93994140625,1248.2900390625,85.49713134765625,133.77,9.1,6.2,152.94480674270721
2006-01,1937.9300537109375,1280.0799560546875,87.55023193359375,132.17,9.2,6.2,154.32131000339143
2006-02,1943.18994140625,1280.6600341796875,88.0515365600586,130.3,8.9,5.8,156.6361296534423
2006-03,1967.3800048828125,1294.8699951171875,89.50472259521484,128.45,9.1,5.2,157.88921869066982
2006-04,1993.7900390625,1310.6099853515625,90.6353759765625,124.42,9.8,6.1,158.6786647841231
2006-05,1936.4100341796875,1270.0899658203125,87.90531921386719,121.48,9.9,5.8,159.94809410239634
2006-06,1939.030029296875,1270.199951171875,88.13460540771484,118.69,9.4,6.3,160.42793838470354
2006-07,1951.0,1276.6600341796875,88.52928161621094,118.41,9.0,5.9,160.74879426147285
2006-08,1997.4200439453125,1303.8199462890625,90.4612045288086,125.24,9.6,6.2,161.07029184999567
2006-09,2048.889892578125,1335.8499755859375,92.90380096435548,127.22,9.8,6.4,161.8756433092458
2006-10,2115.64990234375,1377.93994140625,95.83181762695312,127.82,10.0,6.4,163.00877281241057
2006-11,2155.889892578125,1400.6300048828125,97.7374496459961,127.98,9.9,5.8,164.31284299490986
2006-12,2186.1298828125,1418.300048828125,99.04435729980467,127.0,9.8,7.4,165.79165858186386
2007-01,2219.18994140625,1438.239990234375,100.5339813232422,126.24,9.9,6.6,167.6153668262643
2007-02,2175.780029296875,1406.8199462890625,98.56180572509766,123.71,9.5,6.6,168.95628976087443
2007-03,2200.1201171875,1420.8599853515625,99.70399475097656,123.84,10.6,6.7,170.13898378920052
2007-04,2297.580078125,1482.3699951171875,104.12044525146484,120.02,9.1,6.6,170.98967870814664
2007-05,2377.75,1530.6199951171875,107.65226745605467,121.62,9.8,6.5,172.18660645910379
2007-06,2338.25,1503.3499755859375,106.07828521728516,122.31,10.5,6.5,173.5640993107764
2007-07,2265.75,1455.27001953125,102.7569351196289,123.61,10.5,7.2,175.12617620457357
2007-08,2299.7099609375,1473.989990234375,104.07560729980467,126.25,10.2,8.3,176.35205943800545
2007-09,2385.719970703125,1526.75,108.10478973388672,120.96,11.0,9.6,180.23180474564174
2007-10,2423.669921875,1549.3800048828125,109.5714340209961,120.84,12.1,8.9,188.16200415444982
2007-11,2322.340087890625,1481.1400146484375,105.32745361328124,120.87,10.9,8.6,193.24237826661997
2007-12,2306.22998046875,1468.3599853515625,104.141357421875,120.3,11.5,9.5,196.9139834536859
2008-01,2167.89990234375,1378.550048828125,97.84493255615234,120.22,11.4,9.5,199.08003727167633
2008-02,2097.47998046875,1330.6300048828125,95.31635284423828,120.87,11.7,8.9,200.67267756984967
2008-03,2088.419921875,1322.699951171875,94.46400451660156,120.69,11.4,9.7,201.87671363526874
2008-04,2190.1298828125,1385.5899658203125,98.96634674072266,120.39,11.3,9.7,203.69360405798628
2008-05,2218.5,1400.3800048828125,100.46238708496094,120.57,11.6,9.2,205.73054009856602
2008-06,2031.469970703125,1280.0,92.06615447998048,120.75,11.7,9.5,208.19930657974885
2008-07,2014.3900146484375,1267.3800048828125,91.23886108398438,120.19,11.4,9.2,210.0731003389667
2008-08,2043.530029296875,1282.8299560546875,92.64885711669922,119.54,7.4,8.5,211.75368514167832
2008-09,1861.43994140625,1166.3599853515625,83.92378997802734,119.81,11.7,9.6,213.02420725252844
2008-10,1548.81005859375,968.75,70.0606918334961,119.81,11.5,9.0,214.3023524960436
2008-11,1437.6800537109375,896.239990234375,65.18399810791016,120.35,11.6,9.3,215.15956190602768
2008-12,1452.97998046875,903.25,65.82256317138672,120.77,11.3,9.3,215.58988102983983
2009-01,1330.510009765625,825.8800048828125,60.41759490966797,121.47,11.4,9.1,216.23665067292936
2009-02,1188.8399658203125,735.0900268554688,53.925777435302734,150.43,11.9,7.1,217.9665438783128
2009-03,1292.97998046875,797.8699951171875,58.41836929321289,151.4,10.0,8.1,219.71027622933929
2009-04,1416.72998046875,872.8099975585938,64.2220230102539,150.72,11.4,7.0,221.46795843917394
2009-05,1495.969970703125,919.1400146484376,67.97601318359375,150.44,11.7,8.2,223.0182341482481
2009-06,1498.93994140625,919.3200073242188,67.93148803710938,150.41,10.6,6.6,223.9103070848412
2009-07,1612.31005859375,987.47998046875,72.99955749511719,150.71,8.9,7.0,224.5820380060958
2009-08,1670.52001953125,1020.6199951171876,75.69615173339844,150.8,2.8,5.4,225.0312020821078
2009-09,1732.8599853515625,1057.0799560546875,78.38011932373047,150.95,4.7,5.9,225.93132689043628
2009-10,1700.6700439453125,1036.18994140625,76.87322998046875,150.74,7.3,6.0,226.83505219799804
2009-11,1802.6800537109375,1095.6300048828125,81.60916900634766,148.72,11.1,6.7,227.96922745898814
2009-12,1837.5,1115.0999755859375,83.16796112060547,148.36,10.0,6.7,229.33704282374183
2010-01,1771.4000244140625,1073.8699951171875,80.14543914794922,148.21,10.3,8.1,232.5477614232744
2010-02,1826.27001953125,1104.489990234375,82.64554595947266,147.32,10.9,6.6,234.64069127608371
2010-03,1936.47998046875,1169.4300537109375,87.67699432373047,147.11,10.3,6.5,236.28317611501632
2010-04,1967.050048828125,1186.68994140625,89.03337097167969,146.78,9.5,5.3,237.93715834782145
2010-05,1809.97998046875,1089.4100341796875,81.95926666259766,146.5,10.0,8.2,239.3647812979085
2010-06,1715.22998046875,1030.7099609375,77.71862030029297,147.46,8.8,5.5,239.84351086050415
2010-07,1835.4000244140625,1101.5999755859375,83.02682495117188,147.69,8.6,7.5,240.32319788222514
2010-08,1752.550048828125,1049.3299560546875,79.29222869873047,147.14,9.8,6.3,240.32319788222514
2010-09,1908.949951171875,1141.199951171875,86.39324951171875,147.47,9.6,6.9,241.7651370695176
2010-10,1981.5899658203125,1183.260009765625,89.69365692138672,147.51,9.7,6.0,243.9410233031447
2010-11,1981.8399658203125,1180.550048828125,89.69365692138672,147.49,9.8,4.8,245.89255148957037
2010-12,2114.2900390625,1257.6400146484375,95.68988800048828,147.4,8.8,6.8,247.61379934999624
2011-01,2164.39990234375,1286.1199951171875,97.91947174072266,146.83,8.8,6.9,251.82323393894595
2011-02,2238.550048828125,1327.219970703125,101.3208999633789,146.0,9.1,6.9,255.60058244803056
2011-03,2239.43994140625,1325.8299560546875,101.3331069946289,145.7,8.4,6.9,256.8785853602714
2011-04,2305.760009765625,1363.6099853515625,104.267822265625,145.54,7.9,6.8,258.16297828707235
2011-05,2279.659912109375,1345.199951171875,103.09857940673828,145.34,9.3,6.6,259.45379317850734
2011-06,2241.659912109375,1320.6400146484375,101.35928344726562,146.25,7.6,5.7,260.23215455804393
2011-07,2196.080078125,1292.280029296875,99.33163452148438,146.14,7.6,5.9,261.5333153308331
2011-08,2076.780029296875,1218.8900146484375,93.87079620361328,146.41,8.3,6.4,262.317915276826
2011-09,1930.7900390625,1131.4200439453125,87.35426330566406,147.87,8.6,6.3,263.10486902265507
2011-10,2141.81005859375,1253.300048828125,96.8887176513672,147.54,8.3,6.6,263.63107876070126
2011-11,2137.080078125,1246.9599609375,96.49496459960938,147.72,8.6,6.9,265.2128652332648
2011-12,2158.93994140625,1257.5999755859375,97.50320434570312,148.4,8.4,6.4,266.0085038289656
2012-01,2255.68994140625,1312.4100341796875,102.02484893798828,148.6,8.2,6.2,266.8065293404517
2012-02,2353.22998046875,1365.6800537109375,106.4532470703125,147.65,8.4,6.4,267.8737554578139
2012-03,2430.669921875,1408.469970703125,109.8772201538086,147.77,8.0,4.6,268.67737672418883
2012-04,2415.419921875,1397.9100341796875,109.14370727539062,147.89,8.3,4.5,270.55811836125775
2012-05,2270.25,1310.3299560546875,102.5890121459961,147.91,8.6,5.1,272.4520251897844
2012-06,2363.7900390625,1362.1600341796875,106.75218200683594,149.42,8.3,5.9,273.26938126535606
2012-07,2396.6201171875,1379.3199462890625,108.0150146484375,149.93,8.0,6.0,274.0891894091502
2012-08,2450.60009765625,1406.5799560546875,110.7210693359375,149.41,7.8,5.4,274.9114569773793
2012-09,2513.929931640625,1440.6700439453125,113.52791595458984,149.86,8.3,5.0,276.5609257192418
2012-10,2467.510009765625,1412.1600341796875,111.46195220947266,150.66,8.2,5.4,278.496852199278
2012-11,2481.820068359375,1416.1800537109375,112.0927734375,150.52,8.3,6.1,280.4463301646735
2012-12,2504.43994140625,1426.18994140625,113.09424591064452,150.74,8.3,5.1,282.12900814565944
2013-01,2634.159912109375,1498.1099853515625,118.8835906982422,150.82,7.9,5.5,284.66816921897265
2013-02,2669.919921875,1514.6800537109375,120.40039825439452,150.45,7.9,5.4,286.94551457272325
2013-03,2770.050048828125,1569.18994140625,124.9721221923828,150.84,6.8,4.9,287.5194056018678
2013-04,2823.419921875,1597.5699462890625,127.37313842773438,151.24,6.9,5.1,288.3819638186752
2013-05,2889.4599609375,1630.739990234375,130.3804168701172,151.08,6.8,5.0,288.95872774631073
2013-06,2850.659912109375,1606.280029296875,128.64053344726562,151.65,6.8,5.5,289.8256039295508
2013-07,2995.719970703125,1685.72998046875,135.2882843017578,153.13,6.5,5.1,290.40525513740903
2013-08,2908.9599609375,1632.969970703125,131.23065185546875,152.81,6.7,4.9,290.9860656476841
2013-09,3000.179931640625,1681.550048828125,135.3835906982422,153.62,6.3,4.8,291.56803777897926
2013-10,3138.090087890625,1756.5400390625,141.65283203125,154.33,8.3,4.7,292.44274189231686
2013-11,3233.719970703125,1805.81005859375,145.85110473632812,153.68,8.3,4.7,293.90495560177754
2013-12,3315.590087890625,1848.3599853515625,149.6324920654297,153.61,8.1,4.5,295.9622902909914
2014-01,3200.949951171875,1782.5899658203125,144.35821533203125,155.54,7.9,4.6,297.73806403273716
2014-02,3347.3798828125,1859.449951171875,150.9288330078125,184.06,8.2,3.8,302.79961112129246
2014-03,3375.510009765625,1872.3399658203125,152.1807861328125,182.04,7.5,4.3,305.82760723250703
2014-04,3400.4599609375,1883.949951171875,153.23867797851562,182.05,8.9,4.2,307.6625728759006
2014-05,3480.2900390625,1923.5699462890625,156.79483032226562,183.5,8.9,4.6,309.50854831315695
2014-06,3552.179931640625,1960.22998046875,160.03182983398438,183.51,8.0,4.0,310.43707395809645
2014-07,3503.18994140625,1930.6700439453125,157.8813934326172,183.53,8.4,4.0,310.74751103205494
2014-08,3643.330078125,2003.3699951171875,164.11192321777344,182.0,8.5,3.8,311.99050107618234
2014-09,3592.25,1972.2900390625,161.8478546142578,181.9,8.6,4.1,313.55045358156445
2014-10,3679.989990234375,2018.050048828125,165.65945434570312,180.87,8.4,4.0,314.8046553958904
2014-11,3778.9599609375,2067.56005859375,170.21043395996094,180.87,8.2,3.8,316.69348332826485
2014-12,3769.43994140625,2058.89990234375,169.7786865234375,182.35,8.1,3.9,318.27695074490686
2015-01,3656.280029296875,1994.989990234375,164.74827575683594,184.45,8.6,4.0,320.18661244937596
2015-02,3866.419921875,2104.5,174.00791931152344,185.05,7.4,3.9,321.4673588991722
2015-03,3805.27001953125,2067.889892578125,171.2750244140625,185.65,8.2,3.5,321.78882625807313
2015-04,3841.780029296875,2085.510009765625,172.95933532714844,185.8,8.2,3.3,322.1106150843304
2015-05,3891.179931640625,2107.389892578125,175.18292236328125,185.95,8.1,3.6,323.0769469295831
2015-06,3815.85009765625,2063.110107421875,171.6245880126953,186.2,7.9,3.7,322.75386998265265
2015-07,3895.800048828125,2103.840087890625,175.5014190673828,187.45,7.7,3.4,323.076623852636
2015-08,3660.75,1972.1800537109375,164.8046112060547,237.66,8.5,3.4,324.0458537241951
2015-09,3570.169921875,1920.030029296875,160.5994415283203,270.4,8.9,3.4,327.28631226143636
2015-10,3871.330078125,2079.360107421875,174.25999450683594,279.18,8.6,3.2,344.30520049903197
2015-11,3882.840087890625,2080.409912109375,174.89694213867188,307.2,8.5,3.2,357.04449291749484
2015-12,3821.60009765625,2043.93994140625,171.87423706054688,339.47,8.5,2.9,361.3290268325043
2016-01,3631.9599609375,1940.239990234375,163.31729125976562,365.23,9.0,3.4,366.02630418132895
2016-02,3627.06005859375,1932.22998046875,163.18231201171875,349.82,11.5,3.0,370.05259352732185
2016-03,3873.110107421875,2059.739990234375,174.158935546875,343.06,12.1,2.9,371.90285649495826
2016-04,3888.1298828125,2065.300048828125,174.8453826904297,327.66,12.1,2.9,374.13427363393
2016-05,3957.949951171875,2096.949951171875,177.8197479248047,336.73,12.3,3.0,376.0049450020989
