start_year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
2010,,,,,,,,,,,0.01578518049860045,-0.02323263963070199,0.005903090492427765,0.05673586953060128,0.08741125671896977,0.1710932660862634,0.14060263412273333,0.13124403725485,0.1136493430244947,0.11981197853443426,0.1251586783269758,0.13150896648734456,0.1002541777882493,0.09851586812290214,0.10811632963851237,0.09970482648504775
2011,,,,,,,,,,,,-0.06522097167988483,-0.0022024618905784887,0.06757629951511301,0.10310089425230462,0.20163118477801967,0.16016942042321491,0.14642450172434174,0.12447784446024235,0.13011399128338175,0.1349657586217481,0.1410218252964499,0.10615878685832225,0.10380351719930747,0.11373773986313607,0.10434415016609777
2012,,,,,,,,,,,,,0.059937266685034185,0.13786593404017422,0.16348617054659287,0.27750346400417114,0.20987230108158528,0.18483375596670437,0.15349676254105638,0.15630007584850558,0.15885384156044258,0.16322487292713528,0.12254122429019287,0.11857685053746048,0.12826286817416532,0.11703463296137429
2013,,,,,,,,,,,,,,0.21172234867191442,0.21242041110930043,0.3528701952621627,0.24583759641757896,0.2076884385138953,0.1667221890508075,0.16793598783724195,0.1692893237324662,0.17296141602245219,0.12699847699288624,0.12222012989278319,0.1324053540446044,0.11994856899549178
2014,,,,,,,,,,,,,,,0.2001815282850714,0.41552141319118263,0.2488357551115079,0.19999266345761146,0.15261566575875118,0.1560282870123646,0.1590341766146739,0.16425534959166788,0.1146586292578271,0.11060076625604087,0.12256532835768286,0.10997764984909542
2015,,,,,,,,,,,,,,,,0.6428294978250433,0.2629286453094557,0.19215077139897851,0.1351913707341701,0.14218560216686793,0.14761419847947788,0.1549214146877731,0.10091805683368049,0.09785703875550977,0.1120142758888325,0.0993280506705192
2016,,,,,,,,,,,,,,,,,-0.03721180059990681,0.00766267165647605,-0.0026695622112744566,0.03614546209245528,0.06130737470550751,0.0823533800012548,0.03457542385880452,0.038950442874438496,0.0598143263949531,0.05144580539083243
2017,,,,,,,,,,,,,,,,,,0.048425104914975536,0.011758873261725089,0.05900024852830299,0.08499228427043781,0.10575950762407405,0.04536658182292963,0.04876532623185614,0.07111322964930489,0.06044270913169769
2018,,,,,,,,,,,,,,,,,,,-0.029453520469898242,0.05930973129960293,0.09299702065298354,0.11651930890460882,0.04194510475767532,0.046192932469770964,0.07176692979228738,0.059609003261600346
2019,,,,,,,,,,,,,,,,,,,,0.14872055594746203,0.155227078936909,0.1662498966301762,0.05827451620637092,0.05995784681362992,0.0876578844564333,0.071264954708542
2020,,,,,,,,,,,,,,,,,,,,,0.1507199913469175,0.16707376544270813,0.025686658642830595,0.03503719094870594,0.07184534541618115,0.055414891566211155
2021,,,,,,,,,,,,,,,,,,,,,,0.1721382355854033,-0.03519870000080383,-0.004559399094255623,0.04878436682457177,0.03373735757253393
2022,,,,,,,,,,,,,,,,,,,,,,,-0.21859024084822165,-0.08549188549954134,0.006355072119603289,-0.0018407215911073749
2023,,,,,,,,,,,,,,,,,,,,,,,,0.05242890224695507,0.13439489671454052,0.07850622005330199
2024,,,,,,,,,,,,,,,,,,,,,,,,,0.21056611715403117,0.08552746947194101
2025,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03411813865429558
